id,month,year,day,date,discharge,,﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
1,May,2011,1,2011-05-01,13.7,,
2,May,2011,2,2011-05-02,14.5,,
3,May,2011,3,2011-05-03,15.1,,
4,May,2011,4,2011-05-04,15.4,,
5,May,2011,5,2011-05-05,15.6,,
6,May,2011,6,2011-05-06,15.7,,
7,May,2011,7,2011-05-07,15.9,,
8,May,2011,8,2011-05-08,15.9,,
9,May,2011,9,2011-05-09,15.9,,
10,May,2011,10,2011-05-10,15.8,,
11,May,2011,11,2011-05-11,15.8,,
12,May,2011,12,2011-05-12,15.5,,
13,May,2011,13,2011-05-13,15.2,,
14,May,2011,14,2011-05-14,15.3,,
15,May,2011,15,2011-05-15,14.9,,
16,May,2011,16,2011-05-16,14.4,,
17,May,2011,17,2011-05-17,14,,
18,May,2011,18,2011-05-18,13.5,,
19,May,2011,19,2011-05-19,13,,
20,May,2011,20,2011-05-20,12.7,,
21,May,2011,21,2011-05-21,12.4,,
22,May,2011,22,2011-05-22,12,,
23,May,2011,23,2011-05-23,11.4,,
24,May,2011,24,2011-05-24,11,,
25,May,2011,25,2011-05-25,10.6,,
26,May,2011,26,2011-05-26,10.3,,
27,May,2011,27,2011-05-27,9.82,,
28,May,2011,28,2011-05-28,9.35,,
29,May,2011,29,2011-05-29,8.89,,
30,May,2011,30,2011-05-30,8.46,,
31,May,2011,31,2011-05-31,8.2,,
32,Jun,2011,1,2011-06-01,7.89,,
33,Jun,2011,2,2011-06-02,7.56,,
34,Jun,2011,3,2011-06-03,7.23,,
35,Jun,2011,4,2011-06-04,7.04,,
36,Jun,2011,5,2011-06-05,6.79,,
37,Jun,2011,6,2011-06-06,6.59,,
38,Jun,2011,7,2011-06-07,6.4,,
39,Jun,2011,8,2011-06-08,6.2,,
40,Jun,2011,9,2011-06-09,6.01,,
41,Jun,2011,10,2011-06-10,5.75,,
42,Jun,2011,11,2011-06-11,5.47,,
43,Jun,2011,12,2011-06-12,5.22,,
44,Jun,2011,13,2011-06-13,5.06,,
45,Jun,2011,14,2011-06-14,4.99,,
46,Jun,2011,15,2011-06-15,5.48,,
47,Jun,2011,16,2011-06-16,7.05,,
48,Jun,2011,17,2011-06-17,8.99,,
49,Jun,2011,18,2011-06-18,10.1,,
50,Jun,2011,19,2011-06-19,11.3,,
51,Jun,2011,20,2011-06-20,12.3,,
52,Jun,2011,21,2011-06-21,13.5,,
53,Jun,2011,22,2011-06-22,14.3,,
54,Jun,2011,23,2011-06-23,14.7,,
55,Jun,2011,24,2011-06-24,15.4,,
56,Jun,2011,25,2011-06-25,16,,
57,Jun,2011,26,2011-06-26,16.6,,
58,Jun,2011,27,2011-06-27,17.1,,
59,Jun,2011,28,2011-06-28,17.8,,
60,Jun,2011,29,2011-06-29,18.3,,
61,Jun,2011,30,2011-06-30,18.9,,
62,Jul,2011,1,2011-07-01,19.3,,
63,Jul,2011,2,2011-07-02,19.5,,
64,Jul,2011,3,2011-07-03,19.5,,
65,Jul,2011,4,2011-07-04,19.4,,
66,Jul,2011,5,2011-07-05,19.3,,
67,Jul,2011,6,2011-07-06,18.7,,
68,Jul,2011,7,2011-07-07,18.1,,
69,Jul,2011,8,2011-07-08,17.5,,
70,Jul,2011,9,2011-07-09,17.7,,
71,Jul,2011,10,2011-07-10,17.5,,
72,Jul,2011,11,2011-07-11,17.3,,
73,Jul,2011,12,2011-07-12,17,,
74,Jul,2011,13,2011-07-13,16.9,,
75,Jul,2011,14,2011-07-14,17,,
76,Jul,2011,15,2011-07-15,17.8,,
77,Jul,2011,16,2011-07-16,18.1,,
78,Jul,2011,17,2011-07-17,18.4,,
79,Jul,2011,18,2011-07-18,18.8,,
80,Jul,2011,19,2011-07-19,19.1,,
81,Jul,2011,20,2011-07-20,19.7,,
82,Jul,2011,21,2011-07-21,19.6,,
83,Jul,2011,22,2011-07-22,19.5,,
84,Jul,2011,23,2011-07-23,19.5,,
85,Jul,2011,24,2011-07-24,19,,
86,Jul,2011,25,2011-07-25,18.6,,
87,Jul,2011,26,2011-07-26,18.1,,
88,Jul,2011,27,2011-07-27,17.7,,
89,Jul,2011,28,2011-07-28,17.2,,
90,Jul,2011,29,2011-07-29,16.8,,
91,Jul,2011,30,2011-07-30,16.2,,
92,Jul,2011,31,2011-07-31,15.6,,
93,Aug,2011,1,2011-08-01,15,,
94,Aug,2011,2,2011-08-02,14.3,,
95,Aug,2011,3,2011-08-03,13.6,,
96,Aug,2011,4,2011-08-04,13.1,,
97,Aug,2011,5,2011-08-05,12.4,,
98,Aug,2011,6,2011-08-06,12,,
99,Aug,2011,7,2011-08-07,11.7,,
100,Aug,2011,8,2011-08-08,11.4,,
101,Aug,2011,9,2011-08-09,11,,
102,Aug,2011,10,2011-08-10,10.7,,
103,Aug,2011,11,2011-08-11,10.3,,
104,Aug,2011,12,2011-08-12,10.1,,
105,Aug,2011,13,2011-08-13,10,,
106,Aug,2011,14,2011-08-14,9.71,,
107,Aug,2011,15,2011-08-15,9.61,,
108,Aug,2011,16,2011-08-16,9.44,,
109,Aug,2011,17,2011-08-17,9.45,,
110,Aug,2011,18,2011-08-18,9.73,,
111,Aug,2011,19,2011-08-19,9.83,,
112,Aug,2011,20,2011-08-20,9.8,,
113,Aug,2011,21,2011-08-21,9.7,,
114,Aug,2011,22,2011-08-22,9.51,,
115,Aug,2011,23,2011-08-23,9.39,,
116,Aug,2011,24,2011-08-24,9.25,,
117,Aug,2011,25,2011-08-25,8.99,,
118,Aug,2011,26,2011-08-26,8.7,,
119,Aug,2011,27,2011-08-27,8.44,,
120,Aug,2011,28,2011-08-28,8.19,,
121,Aug,2011,29,2011-08-29,8.02,,
122,Aug,2011,30,2011-08-30,7.81,,
123,Aug,2011,31,2011-08-31,7.69,,
1,May,2014,1,2014-05-01,14.7,,
2,May,2014,2,2014-05-02,15,,
3,May,2014,3,2014-05-03,15.1,,
4,May,2014,4,2014-05-04,15.3,,
5,May,2014,5,2014-05-05,15.4,,
6,May,2014,6,2014-05-06,15.4,,
7,May,2014,7,2014-05-07,15.4,,
8,May,2014,8,2014-05-08,15.4,,
