Location,Site,Reef Type ,Management,Current,Depth range,Transect,Genus ,Co-ccurrance,Count
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Acropora,B,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Acropora,"B, P",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Acropora,"B, WS",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Acropora,WS,4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Favia,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Favites,B,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Favites,"B, P",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Fungia,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Fungia,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Fungia,"B, P",6
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Fungia,"B, others",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Fungia,"WS, P",6
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Galaxea,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Galaxea,"B, P",4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Leptoseris,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Leptoseris,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Montipora,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Montipora,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Montipora,"B, others",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Montipora,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pachyseris,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pachyseris,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pavona,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pocillopora,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pocillopora,"B, P",4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pocillopora,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Pocillopora,"B, P",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,B,5
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, WS",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, P",4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, others",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,B,5
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, P",11
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,B,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"B, WS",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"WS, P",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"P, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,"WS, P",20
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Porites,WS,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,1,Stylophora,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Acropora,"B, P",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Acropora,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Acropora,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Acropora,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Acropora,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Coscinaraea,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Favites,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Fungia,"B, P",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Galaxea,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Galaxea,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Isopora,"B, P",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Millepora,B,4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,"B, others",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,"B, P",5
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,"B, WS",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,"WS, P",10
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Montipora,WS,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Pavona,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Pocillopora,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,B,3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"B, P",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,B,5
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"B, P",9
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,B,4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"B, WS",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"WS, P",4
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"WS, P",23
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,2,Porites,WS,6
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Acropora,B,7
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Acropora,"B, P",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Echinopora,B,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Favites,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Galaxea,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Merulina,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Montipora,B,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Montipora,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Montipora,"WS, P",12
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Montipora,"P, others",3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Montipora,WS,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Pavona,B,2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Pocillopora,B,3
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Pocillopora,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Pocillopora,"B, others",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,B,6
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"B, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,B,1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"B, WS",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,B,7
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"B, E",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"B, P",5
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"B, others",5
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"WS, P",1
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"WS, P",11
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,"WS, P",2
Leleuvia ,LUDF1,Fore reef,Tabu,Low,Deep,3,Porites,WS,4
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Acropora,B,4
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Diploastrea,WS,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Echinophyllia,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Favites,B,3
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Goniastrea,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Merulina,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Montipora,B,3
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Montipora,"B, others",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Montipora,WS,5
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Pocillopora,B,8
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Pocillopora,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,B,3
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,B,6
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,"B, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,P,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,"P, others",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,P,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,"WS, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,"WS, P",2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,WS,9
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,WS,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Acropora,B,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Acropora,B,5
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Ctenactis,"B, WS",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Fungia,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Fungia,"B, other disease",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Fungia,"B, WS",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Galaxea,WS,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Goniastrea,WS,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Millepora,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Pocillopora,B,46
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Pocillopora,"B, other disease",2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Pocillopora,B,7
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Porites,"B, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Porites,"WS, P",4
