site,transect,genus,B,others,FB,GA,IG,P,PR,TLS,UWS,WS,healthy,TotalD,Total Bleaching
LUDF1,1,Acropora,4,0,1,0,0,0,0,0,0,0,82,0,5
LUDF1,1,Astreopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF1,1,Ctenactis,0,3,0,0,0,0,0,0,0,0,0,3,0
LUDF1,1,Diploastrea,0,0,0,0,0,0,0,0,0,0,11,3,0
LUDF1,1,Echinopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF1,1,Favia,0,0,0,0,0,0,0,0,0,1,1,1,0
LUDF1,1,Favites,4,0,0,0,0,0,0,0,0,0,11,0,4
LUDF1,1,Fungia,2,3,6,0,0,0,1,0,0,8,2,12,8
LUDF1,1,Galaxea,5,0,0,0,0,0,0,0,0,0,1,3,5
LUDF1,1,Goniastrea,0,0,0,0,0,0,0,0,0,0,2,0,0
LUDF1,1,Isopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF1,1,Leptastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF1,1,Leptoria,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF1,1,Leptoseris,0,0,1,0,0,0,0,0,0,1,3,1,1
LUDF1,1,Lobophyllia,0,0,0,0,0,0,1,0,0,0,3,1,0
LUDF1,1,Merulina,0,0,0,0,0,0,0,0,0,0,3,0,0
LUDF1,1,Montipora,0,1,2,0,0,0,1,0,1,2,31,5,2
LUDF1,1,Pachyseris,1,0,0,0,0,0,0,0,1,0,0,2,1
LUDF1,1,Pavona,0,0,1,0,0,0,0,0,0,0,7,0,1
LUDF1,1,Platygyra,0,0,0,0,0,0,0,0,0,0,2,0,0
LUDF1,1,Pocillopora,5,0,4,1,0,0,0,0,0,0,18,1,9
LUDF1,1,Porites,15,0,18,0,0,0,2,0,24,5,76,31,33
LUDF1,1,Stylophora,1,0,0,0,0,0,0,0,0,0,0,0,1
LUDF1,1,Symphyllia,0,0,0,0,0,0,1,0,0,0,0,1,0
LUDF1,2,Acropora,3,0,1,0,0,0,0,0,1,2,73,3,4
LUDF1,2,Astreopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUDF1,2,Coscinaraea,1,0,0,0,0,0,0,0,0,0,0,0,1
LUDF1,2,Diploastrea,0,0,0,0,0,0,0,0,0,0,11,0,0
LUDF1,2,Echinopora,0,0,0,0,0,0,0,0,0,0,3,0,0
LUDF1,2,Favites,1,0,0,0,0,0,0,0,0,0,5,0,1
LUDF1,2,Fungia,0,0,3,0,0,0,0,0,0,0,0,0,3
LUDF1,2,Galaxea,1,0,1,0,0,0,0,0,0,0,0,0,2
LUDF1,2,Isopora,0,0,2,0,0,0,0,0,0,0,1,0,2
