Coral,Time,TimeOfDay,TimeOfDay_ID,ProgDistance_cm,ProgTime_min,ProgTime_hr,ProgRate_cm_hr
Coral1,Set 1,4pm-10am,Aft-Morn,0.9198,1109,18.48333333,0.049763751
Coral1,Set 2,10am-5pm,Morn-Aft,0,348,5.8,0
Coral1,Set 3,5pm-6am,Aft-Morn,0.699966667,814,13.56666667,0.051594595
Coral1,Set 4,6am-3pm,Morn-Aft,0.6147,633,10.55,0.058265403
Coral2,Set 1,4pm-10am,Aft-Morn,0,1112,18.53333333,0
Coral2,Set 2,10am-5pm,Morn-Aft,0.935171429,290,4.833333333,0.193483744
Coral2,Set 3,5pm-6am,Aft-Morn,0.854095238,811,13.51666667,0.063188304
Coral2,Set 4,6am-3pm,Morn-Aft,0,1588,26.46666667,0
Coral3,Set 1,4pm-10am,Aft-Morn,0,1046,17.43333333,0
Coral3,Set 2,10am-5pm,Morn-Aft,0.6486,340,5.666666667,0.114458824
Coral3,Set 3,5pm-6am,Aft-Morn,0.5744,814,13.56666667,0.042339066
Coral3,Set 4,6am-3pm,Morn-Aft,2.7644,1586,26.43333333,0.104580076
Coral4,Set 1,4pm-10am,Aft-Morn,0,1070,17.83333333,0
Coral4,Set 2,10am-5pm,Morn-Aft,0.24505,404,6.733333333,0.036393564
Coral4,Set 3,5pm-6am,Aft-Morn,0,764,12.73333333,0
Coral4,Set 4,6am-3pm,Morn-Aft,0,1590,26.5,0
Coral5,Set 1,4pm-10am,Aft-Morn,0,1107,18.45,0
Coral5,Set 2,10am-5pm,Morn-Aft,2.08155,407,6.783333333,0.306862408
Coral5,Set 3,5pm-6am,Aft-Morn,0,814,13.56666667,0
Coral5,Set 4,6am-3pm,Morn-Aft,1.108666667,1611,26.85,0.041291124
