Location,SiteName,Transect,Genus,NumberperTransect,Growthforms,SignsAbnormal,type1,type2,type3,type4,cat1,cat2,cat3,cat4,n_cat,P,WS
Leleuvia,LUDF1,1,Porites,3,M,1,UWS,P,,,UWS,P,,,2,1,0
Leleuvia,LUDF1,1,Acropora,1,B,1,B,,,,B,,,,1,0,0
Leleuvia,LUDF1,1,Montipora,1,SM,1,FB,P,WS,,B,P,WS,,3,1,1
Leleuvia,LUDF1,1,Porites,2,M,4,E,,,,GA,,,,1,0,0
Leleuvia,LUDF1,1,Porites,1,M,1,UWS,P,,,UWS,P,,,2,1,0
Leleuvia,LUDF1,1,Pocillopora,1,CC,1,B,P,,,B,P,,,2,1,0
Leleuvia,LUDF1,1,Montipora,1,SM,1,UWS,P,,,UWS,P,,,2,1,0
Leleuvia,LUDF1,1,Fungia,6,S,1,WS,P,,,WS,P,,,2,1,1
Leleuvia,LUDF1,1,Porites,1,M,1,WS,P,,,WS,P,,,2,1,1
Leleuvia,LUDF1,1,Porites,1,M,4,E,,,,GA,,,,1,0,0
Leleuvia,LUDF1,1,Porites,1,E,1,B,,,,B,,,,1,0,0
Leleuvia,LUDF1,1,Galaxea,3,M,1,B,P,,,B,P,,,2,1,0
Leleuvia,LUDF1,1,Porites,2,M,1,UWS,P,,,UWS,P,,,2,1,0
Leleuvia,LUDF1,1,Fungia,1,S,2,PYBD,,,,PYBD,,,,1,0,0
Leleuvia,LUDF1,1,Porites,2,E,1,UWS,P,,,UWS,P,,,2,1,0
Leleuvia,LUDF1,1,Montipora,1,SM,2,PYBD,,,,PYBD,,,,1,0,0
Leleuvia,LUDF1,1,Porites,1,M,1,UWS,P,,,UWS,P,,,2,1,0
Leleuvia,LUDF1,1,Porites,1,SM,1,FB,,,,B,,,,1,0,0
Leleuvia,LUDF1,1,Pocillopora,1,SM,1,B,P,,,B,P,,,2,1,0
Leleuvia,LUDF1,1,Porites,3,M,1,B,UWS,FB,,B,UWS,B,,3,0,0
Leleuvia,LUDF1,1,Favites,2,M,1,B,,,,B,,,,1,0,0
Leleuvia,LUDF1,1,Porites,1,SM,1,B,P,PD,UWS,B,P,UWS,,3,1,0
