Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Cause,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,3,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,1,B,1,B ,B,B,,Bleaching ,,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,5,T,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,1,"FB, P, WS",FB,B,White Syndrome,Predation,Focal Bleaching ,,FB
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,SM,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Diploastrea,1,M,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Favites,1,E,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,3,PD,,,,,,,PD
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,2,M,4,E,,,,,,,IG
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,1,M,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Pocillopora,1,CC,1,"B, P",B,B,,Predation,Bleaching,,BL
Leleuvia ,11/24/2014,4:28,LUDF1,1,Montipora,1,SM,1,"UWSD, P",UWS,OWS,Ulcerative White Spot Disease,Predation,,,UWS
Leleuvia ,11/24/2014,4:28,LUDF1,1,Millepora,1,B,0,,,,,,,,H
Leleuvia ,11/24/2014,4:28,LUDF1,1,Porites,4,E,0,,,,,,,,H
