Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,9/25/2013,,LUSF2,1,Goniastrea,1,SM,1,B,B,B,,Bleaching ,,White patches on surface,BL
Leleuvia,9/25/2013,,LUSF2,1,Porites,5,E,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,1,E,1,"WSpt, P",UWS,WSO,Ulcerative White Spot Disease,Predation,,White spots on surface,UWS
Leleuvia,9/25/2013,,LUSF2,1,Favites,1,SM,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Merulina,2,F,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,2,M ,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,6,M ,1,"WSpt, PD",UWS,WSO,Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
Leleuvia,9/25/2013,,LUSF2,1,Coscinaraea,1,SM,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Porites,4,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Pocillopora,1,SM,1,B,B,B,,Bleaching ,,Colony almost white,BL
Leleuvia,9/25/2013,,LUSF2,1,Pavona,5,E,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,4,B,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Leptastrea,2,E,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Platygyra,1,E,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Millepora,6,SM,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,6,SM,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Montipora,1,E,1,WSpt,UWS,WSO,Ulcerative White Spot Disease,,,White/pale spots on surface,UWS
Leleuvia,9/25/2013,,LUSF2,1,Favites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Porites,3,SM,1,UWSD,UWS,WSO,Ulcerative White Spot Disease,,,,UWS
Leleuvia,9/25/2013,,LUSF2,1,Millepora,1,B,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Acropora,1,B,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Acropora,6,T,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Fungia,1,S,2,PYBD,Unique,,Pacific Yellow Band Disease,,,Yellow patches over colony surface,Others 
Leleuvia,9/25/2013,,LUSF2,1,Porites,3,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Fungia,1,S,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Millepora,1,B,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,3,E,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Coscinaraea,4,SM,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Favites,1,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead colony with white patches,BL
Leleuvia,9/25/2013,,LUSF2,1,Merulina,1,F,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Astreopora,1,SM,2,PLD,Unique,,Pink Line Disease ,,,Partly dead colony with PR..pink link near dead end ,Others
Leleuvia,9/25/2013,,LUSF2,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Acropora,2,B,1,B,B,B,,,,,BL
Leleuvia,9/25/2013,,LUSF2,1,Astreopora,2,SM,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Goniastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Pavona,2,SM,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Porites,2,SM,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Favia,1,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Pavona,1,E,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/25/2013,,LUSF2,1,Porites,2,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Acropora,2,B,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Favites,1,E,1,B,B,B,,Bleaching ,,White patches ,BL
Leleuvia,9/25/2013,,LUSF2,1,Acropora,1,T,1,B,B,B,,Bleaching ,,,BL
Leleuvia,9/25/2013,,LUSF2,1,Millepora,1,SM,1,"FB, PD",FB,B,,Focal Bleaching ,,Partly dead with white spots ,FB
Leleuvia,9/25/2013,,LUSF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Montipora,1,F,0,,,,,,,,H
Leleuvia,9/25/2013,,LUSF2,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia,9/25/2013,,LUSF2,1,Diploastrea,1,M ,3,PD,,,,,,,PD
