Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,M ,3,PD,,,,,,Partly dead colony,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,4,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,T,1,B,B,B,,Bleaching ,,Colony gone pale,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Isopora,4,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,58,T,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Millepora,5,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,3,SM,1,P,P,P,,Predation,,,P
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Millepora,9,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Coscinaraea,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favites,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,M ,1,"UWSD, PD",UWS,WSO,Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Isopora,2,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,4,SM,1,P,P,P,,Predation,,White spots..looks like fish grazing marks,P
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,3,B,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,4,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,5,M ,0,,,,,,,,H
