Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,11/25/2013,,LUSRF2,1,Acropora,16,T,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Porites,51,SM,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Pocillopora,5,SM,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Goniastrea,2,E,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Acropora,5,T,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Acropora,4,D,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Pocillopora,3,SM,1,B,B,B,,,,Colony looks very pale,BL
Leleuvia,11/25/2013,,LUSRF2,1,Pavona,1,E,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Acropora,2,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Millepora,7,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Hydnophora,1,SM,1,"B, PD",B,B,,Bleaching ,,White patches on colony surface and discoloration,BL
Leleuvia,11/25/2013,,LUSRF2,1,Acropora,13,E,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Montastrea,2,SM,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Pocillopora,2,CC,1,"B, PD",B,B,,Bleaching ,,White patches on some branches,BL
Leleuvia,11/25/2013,,LUSRF2,1,Porites,5,SM,2,"PR, PD",PR,,Pigmentation Response,,,Party dead with PR and some white patches,PR
Leleuvia,11/25/2013,,LUSRF2,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Goniastrea,3,E,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Leptoria,5,SM,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Porites,5,SM,1,"FB, PD",FB,B,,Focal Bleaching ,,Partly dead with white spots and patches ,FB
Leleuvia,11/25/2013,,LUSRF2,1,Pocillopora,20,CC,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Platygyra,6,M ,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Porites,29,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Porites,1,M ,1,"P, PD",P,P,,Predation,,Partly dead colony with fish bite marks ,P
Leleuvia,11/25/2013,,LUSRF2,1,Platygyra,1,SM,4,"E, PD",,,,Eroded,,Partly dead with signs of organsim burrowing,IG
Leleuvia,11/25/2013,,LUSRF2,1,Montipora,1,E,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Stylophora,4,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Fungia,1,S,2,PR,PR,,Pigmentation Response,,,Pink patches all over colony,PR
Leleuvia,11/25/2013,,LUSRF2,1,Porites,2,M ,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Montastrea,1,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with colony going pale to almost white ,BL
Leleuvia,11/25/2013,,LUSRF2,1,Porites,3,M ,1,"UWSD, PD",UWS,WSO,Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
Leleuvia,11/25/2013,,LUSRF2,1,Fungia,1,S,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Porites,2,SM,2,"PR, PD",PR,,Pigmentation Response,,,"Partly dead with discoloration, white/pale patches on colony surface",PR
Leleuvia,11/25/2013,,LUSRF2,1,Coscinaraea,1,SM,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Porites,4,B,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Turbinaria ,2,SM,1,"WS, PD",WS,WS,White Syndrome,,,Partly dead with WS advancing from edges,WS
Leleuvia,11/25/2013,,LUSRF2,1,Pocillopora,4,CC,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Favites,2,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white patches,BL
Leleuvia,11/25/2013,,LUSRF2,1,Millepora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,1,Hydnophora,1,M ,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,1,Porites,1,M ,1,FB,FB,B,,Focal Bleaching ,,White spots on surface,FB
Leleuvia,11/25/2013,,LUSRF2,1,Leptoria,1,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white patches ,BL
Leleuvia,11/25/2013,,LUSRF2,1,Favites,1,E,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,2,Goniastrea,2,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white patches on surface,BL
Leleuvia,11/25/2013,,LUSRF2,2,Galaxea,1,E,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Platygyra,1,E,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Acropora,12,D,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,2,Acropora,81,T,0,,,,,,,,H
Leleuvia,11/25/2013,,LUSRF2,2,Pocillopora,7,CC,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Porites,66,SM,3,PD,,,,,,One colony is partly covered with CA/SP,PD
Leleuvia,11/25/2013,,LUSRF2,2,Acropora,10,T,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Acropora,14,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Montipora,9,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Porites,4,SM,2,"PR, PD",PR,,Pigmentation Response,,,Partly dead with white spot and pink patches. Patchy tissue loss mostly due to sediment load,PR
Leleuvia,11/25/2013,,LUSRF2,2,Porites,200,B,3,PD,,,,,,,PD
Leleuvia,11/25/2013,,LUSRF2,2,Lobophyllia,1,E,3,PD,,,,,,,PD
