Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,11/27/2013,,LUSRF4,1,Galaxea,1,E,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,SM,1,"P, PR",P,Pigmentation Response,Predation,,White patches (fish bite marks) with a pale patches . A little discoloration,P
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,SM,2,"PR, PD",PR,Pigmentation Response,,,Partly dead with pale patches ,PR
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,1,"B, PD",B,,Bleaching ,,Whole colony is bleached,BL
Leleuvia,11/27/2013,,LUSRF4,1,Porites,5,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,5,CC,1,"B,P PD",B,,Bleaching ,Predation,Partly dead with white patches on branch tips . Some Drupella sighted on the colony,BL
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,5,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,2,D,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,E,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,2,"GA, P",GA,Growth Anomalies ,Predation,,White patches on branch tips with GA,GA
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,E,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,T,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,1,P,P,,Predation,,White spots (fish bite marks) on surface,P
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,SM,1,"P, PD",P,,Predation,,Partly dead with fish bite marks,P
Leleuvia,11/27/2013,,LUSRF4,1,Montastrea,1,E,1,"B, PD",B,,Bleaching ,,White patches on a partly dead colony,BL
Leleuvia,11/27/2013,,LUSRF4,1,Favites,1,E,1,"B, PD",B,,Bleaching ,,White patches on a partly dead colony,BL
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,M ,1,"B,",B,,Bleaching ,,White/pale patches on colony surface,BL
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,M ,1,P,P,,Predation,,White spots on surface (fish bite marks),P
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Astreopora,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Stylophora,1,B,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,3,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,D,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,2,M ,1,"B,",B,,Bleaching ,,White patches on surface,BL
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,CC,1,"B, PD",B,,Bleaching ,,Partly dead with white patches on some branches,BL
Leleuvia,11/27/2013,,LUSRF4,1,Montipora,1,B,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,3,B,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,4,CC,1,B,B,,Bleaching ,,White patches on some colony branches,BL
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,B,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,3,D,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,SM,1,"P, PD",P,,Predation,,Partly dead with fish bite marks ,P
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,2,PR,PR,Pigmentation Response,,,Little discoloration on some branches,PR
Leleuvia,11/27/2013,,LUSRF4,1,Coscinaraea,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Goniastrea,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,1,FB,FB,,Focal Bleaching ,,White patches on surface,FB
Leleuvia,11/27/2013,,LUSRF4,1,Isopora,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,SM,1,"B, PD",B,,Bleaching ,,Partly dead with white patches on surface,BL
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,2,"GA, B",GA,Growth Anomalies ,Bleaching ,,White patchs on some branches with GA,GA
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,CC,1,"B,",B,,Bleaching ,,White patches on some branches,BL
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,D,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Platygyra,1,E,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,1,"P, PD",P,,Predation,,Partly dead with white spots (fish bite marks) on surface,P
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,D,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,1,"FB, PD",FB,,Focal Bleaching ,,Partly dead with white patches on surface,FB
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,4,T,1,B,B,,Bleaching ,,Colony partly bleached,BL
Leleuvia,11/27/2013,,LUSRF4,1,Leptoria,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,T,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,SM,1,B,B,,Bleaching ,,Palrtly bleached ,BL
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,E,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,1,P,P,,Predation,,White spots (fish bite) marks ,P
Leleuvia,11/27/2013,,LUSRF4,1,Millepora,1,B,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Acropora,1,T,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,SM,2,"GA, PD",GA,Growth Anomalies ,,,Partly dead with GA,GA
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,3,PD,,,,,,PD
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,F,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,M ,1,"FB, PD",FB,,Focal bleaching ,,White spots on surface has partly dead colony,FB
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,15,CC,1,"B, PD",B,,Bleaching ,,Partly dead with white patches ,BL
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,2,CC,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Goniastrea,2,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,1,SM,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Millepora,2,B,0,,,,,,,H
Leleuvia,11/27/2013,,LUSRF4,1,Porites,3,SM,1,"FB, PD",FB,,Focal Bleaching ,,Partly dead with white spots on surface,FB
Leleuvia,11/27/2013,,LUSRF4,1,Pocillopora,1,CC,1,"B, ",B,,Bleaching ,,White patches on some branches,BL
Leleuvia,11/27/2013,,LUSRF4,1,Porites,3,SM,3,PD,,,,,,PD
