Location,Date,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Comments,New Cat
Moorea,,MRSF1,1,Pocillopora,25,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,15,SM,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Acropora,3,T,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,D,0,,,,,H
Moorea,,MRSF1,1,Montastrea,1,M,1,B,B,B,Bleaching and partly dead,BL
Moorea,,MRSF1,1,Fungia,1,S,1,FB,FB,B,Focal bleaching with a white spot,FB
Moorea,,MRSF1,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,B,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Porites,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Bleaching and partly dead,BL
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Partly bleached,BL
Moorea,,MRSF1,1,Porites,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"GA, B",GA,,"Partly bleached, GA",GA
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Partly bleached,BL
Moorea,,MRSF1,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,13,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Partly bleached and dead,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,"Partly bleached, filamentous algae and partly dead",BL
Moorea,,MRSF1,1,Porites,1,M,1,UWS,UWS,WSO,White spots and partly dead,UWS
Moorea,,MRSF1,1,Montastrea,1,M,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"GA, PR",GA,,,GA
Moorea,,MRSF1,1,Porites,1,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"GA, PR",GA,,,GA
Moorea,,MRSF1,1,Montastrea,1,SM,1,B,B,B,Bleached and partly dead,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Partly bleached and dead,BL
Moorea,,MRSF1,1,Porites,1,SM,3,PD,,,Partly dead and covered with FA,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Partly bleached,BL
Moorea,,MRSF1,1,Pocillopora,4,SM,0,,,,,H
