Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Diploastrea,1,M ,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Cyphastrea,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,E,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pectinia,2,B,3,PD,,,,Smothered by sediment clog,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Fungia,2,S,1,FB,,Focal bleaching ,,White spots on surface,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,F,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,2,T,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Cyphastrea,4,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pavona,1,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,3,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Merulina,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,T,1,B,,Bleaching ,,Some branches look bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,2,M ,1,FB,,Focal Bleaching ,,White patches on surface,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,3,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Seriatopora,1,B,1,B,,Bleaching ,,70% colony is white,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,2,M ,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,White spots on surface,UWS,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches near the edge,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,2,B,1,"B, ",,Bleaching ,,Partly bleaching ,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pavona,1,SM,3,PD,,,,Smothered by sediment clogs,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,E,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,E,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favia,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,M ,3,PD,,,,Smothered by sediment clogs,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Cyphastrea,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Turbinaria ,1,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Merulina,1,F,1,"FB, SD",,Focal Bleaching ,,Irregular bleaching due to sediment damage,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,M ,4,E,,Eroded,,Signs of organism burrowing ,E,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead with 70% bleaching,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pectinia,1,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,F,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Millepora,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Leptoseris,1,F,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Leptoseris,2,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,3,M ,1,"FB, PD",,Focal Bleaching ,,Irregular bleaching due to SD and 90% of colony dead. Too much abrasion due to SD,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Oxypora,1,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,2,B,1,B,,Bleaching ,,80% colony bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Fungia,1,S,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,2,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,3,M ,1,"P, PD",,Predation,,Fish feeding signs,P,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,1,"FD, SD, PD",,Focal Bleaching ,,Irregular bleaching due to SD and colony partly dead near edges,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,1,"B, PD",,Bleaching ,,Partly dead ,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,T,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,E,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,SM,1,"B, PD",,Bleaching ,,Partly dead,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,2,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,2,T,1,"B,",,Bleaching ,,Colony tips are bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,E,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Cyphastrea,2,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Merulina,1,F,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,2,F,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,SM,1,"B, PD",,Bleaching ,,"Partly dead colony, slightly bleached and competing with Montipora colony",B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,E,3,"SD, PD",,,,SD causing pale scars ,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Diploastrea,1,E,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,F,3,"SD,PD",,,,Partly dead due to SD,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,M ,3,"SD,PD",,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Leptoseris,1,F,3,SD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Cyphastrea,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,2,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pavona,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,T,1,B,,Bleaching ,,Colony tips bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pavona,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pectinia,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,1,"B, PD",,Bleaching ,,Partly dead with bleaching ,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,T,1,FB,,Focal Bleaching ,,White patch around growth end,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pocillopora,1,CC,1,B,,Bleaching ,,Bleaching towards the tip,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Platygyra,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,3,T,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,B,1,B,,Bleaching ,,90% colony bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,E,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,4,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,B,1,"B, ",,Bleaching ,,Some colony bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,SM,1,"FB, PD",,Focal Bleaching ,,White patches on a partly dead colony ,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pectinia,1,F,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,4,E,,Eroded,,Signs of organism burrowing,E,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Millepora,1,E,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Millepora,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pocillopora,1,CC,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pavona,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Millepora,1,B,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,2,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pocillopora,1,CC,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,E,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pocillopora,1,CC,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Millepora,4,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,2,SM,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniastrea,1,E,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,2,E,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Goniopora,1,M ,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches on surface,FB,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,B,2,AO,,Aggressive Overgrowth,,Sponge overgrowth,Others,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Mycedium,1,F,1,B,,Bleaching ,,White patches and spots on surface,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Montipora,1,B,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,SM,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pavona,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Porites,1,M ,1,"B, PD",,Bleaching ,,Partly dead with live tissue bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Diploastrea,1,M ,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead colony with bleached tips ,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Acropora,1,T,1,B,,Bleaching ,,Partly bleached,B,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Cyphastrea,1,SM,3,PD,,,,,PD,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,2,M ,0,,,,,,H,,,,
NanuyaLailai,12/2/2013,17:48,NLDF1,1,Favites,1,SM,3,PD,,,,,PD,,,,
