Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Acropora,5,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,2,T,1,"P, PD",,,,,P
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"FB, P",,Focal Bleaching ,Predation,White patches and spots on colony surface,FB
NanuyaLailai,,,NLDF2,1,Pocillopora,2,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pavona,1,F,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,4,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,3,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,"B, P, PD",,Bleaching ,Predation,Partly dead with white bands near growth end ,B
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,SM,1,P,,Predation,,White spots/patches on surface,P
NanuyaLailai,,,NLDF2,1,Porites,3,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Favites,1,M ,1,"B, ",,Bleaching ,,White patch on surface,B
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"B, PD",,Bleaching ,,Partly bleached and dead,B
NanuyaLailai,,,NLDF2,1,Pavona,1,F,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,5,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Astreopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"FB, E",,Focal Bleaching ,Eroded,Big white patches with organisms burrowing in,FB
NanuyaLailai,,,NLDF2,1,Porites,6,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
