Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Pavona,1,SM,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly bleached and dead,BL
NanuyaLailai,12/4/2013,,NLSF1,1,Montipora,1,F,3,PD,,,,,
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,4,B,3,PD,,,,,
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,5,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,3,PD,,,,,
NanuyaLailai,12/4/2013,,NLSF1,1,Echinopora,1,F,3,PD,,,,,
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
NanuyaLailai,12/4/2013,,NLSF1,1,Ctenactis,1,S,1,USWD,Ulcerative White Spot Disease,,,White spots and patches on surface,UWS
NanuyaLailai,12/4/2013,,NLSF1,1,Pavona,1,SM,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Fungia,1,S,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Millepora,2,SM,3,PD,,,,,
NanuyaLailai,12/4/2013,,NLSF1,1,Montipora,1,F,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Montipora,1,SM,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Pavona,1,SM,1,USWD,Ulcerative White Spot Disease,,,White spots on surface,UWS
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,6,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead with some branches bleached,BL
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,1,"WS, PD",White Syndrome,,,Partly dead with WS,WS
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,5,T,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Pocillopora,1,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches,BL
NanuyaLailai,12/4/2013,,NLSF1,1,Porites,1,B,0,,,,,,H
NanuyaLailai,12/4/2013,,NLSF1,1,Acropora,1,B,0,,,,,,H
