Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,4,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Hydnophora,1,M ,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Isopora,2,SM,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,3,B,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,2,B,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Millepora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,D,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,7,D,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,E,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,D,1,B,,Bleaching ,,,BL
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,D,1,"P, PD",,Predation,,Partly dead with white patches,P
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,6,B,2,"GA, PR",Growth Anomalies ,Pigmentation Response,,Pink coloration on surface,GA
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Isopora,1,SM,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Pocillopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,B,2,"GA, PD",Growth Anomalies ,,,Partly dead with abnormal growth ,GA
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Favites,1,M ,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Montipora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,B,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Isopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,SM,1,"P, PD",,Predation,,Partly dead with fish feeding marks,P
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Goniopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Isopora,1,SM,0,,,,,,H
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Acropora,1,D,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Isopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,M ,2,"GA, PR",Growth Anomalies ,,,,GA
Nanuyalailai,12/3/2013,14:28,NLSOH1,1,Porites,1,SM,2,"GA, PR, PD",Growth Anomalies ,,,Partly dead with abnormal growth ,GA
