Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,1,B,1,"WS, PR, PD",White Syndrome,Pigmentation Response,,Partly dead with white patches and pink spots,WS
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches ,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,SM,2,"PR, PD",Pigmentation Response,,,Partly dead with pink lines around dead tissue,PR
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,2,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,4,B,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,2,T,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pavona,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Favites,1,M ,1,B,,Bleaching ,,Partly bleached,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,2,CC,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,20,M ,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,1,"B, ",,Bleaching ,,Partly bleached,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,2,CC,1,B,,Bleaching ,,Partly bleached,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,1,SM,2,GA,Growth Anomalies ,,,,GA
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,1,T,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Isopora,1,SM,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,5,M ,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,1,B,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,2,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,3,M ,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Stylophora,1,B,1,B,,Bleaching ,,,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,2,E,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,2,SM,1,"P, PD",,Predation,,Partly dead with fish feeding marks,P
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,E,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,1,D,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,1,"B, PR, PD",Pigmentation Response,Bleaching ,,Partly dead with white patches,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Pocillopora,1,CC,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,SM,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,1,"B, PR",,Bleaching ,,White patches due to multifocal bleaching,BL
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,0,,,,,,H
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,SM,1,"WS, B, PD",White Syndrome,Bleaching ,,Partly dead with white patches advancing from edge and bleaching,WS
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,1,B,1,"WS, PD",White Syndrome,,,Partly dead with white band ,WS
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Acropora,2,D,3,PD,,,,,PD
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,2,M ,2,"PR, PD",Pigmentation Response,,,Partly dead with PR,PR
Nanuyalailai,12/5/2013,11:02,NLSOH2,1,Porites,1,M ,1,"WS, E, PD",White Syndrome,Eroded,,Partly dead and eroded with WS,WS
