Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,5,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,4,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Galaxea,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with abnormal growth ,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,1,B,,Bleaching ,,Whole colony is pale,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,E,1,B,,Bleaching ,,White patches ,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,E,1,B,,Bleaching ,,Non focal bleaching with white patches (no tissue loss),BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,B,,Bleaching ,,Whole colony is pale,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,B,,Bleaching ,,White patches on surface,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Goniastrea,1,M ,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,1,B,,Bleaching ,,Partly bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,1,B,,Bleaching ,,Whole colony bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Astreopora,2,SM,2,"PR, E, PD",Pigmentation Response,Eroded,,Partly dead and eroded with pink patches around erosion,PR
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,1,B,,Bleaching ,,Whole colony bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Favites,1,E,1,"B,",,Bleaching ,,Whole colony bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Goniastrea,1,SM,1,UWSD,Ulcerative White Spot Disease,,,White spots (tissue loss),UWS
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,2,PR,Pigmentation Response,,,Pink spots and patches,PR
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"WS, PD",White Syndrome,,,Partly dead with white band (tissue loss),WS
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"P, GA, PD",Growth Anomalies ,Predation,,Partly dead with white patches (tissue loss) and abnormal growth ,P
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,2,E,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,4,D,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,4,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,1,B,,Bleaching ,,Whole colony bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Millepora,2,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"P, PD",,Predation,,White patches caused by predation (tissue loss),P
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,4,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,9,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,1,"B, PD",,Bleaching ,,Partly dead with white patches (no tissue loss),BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spots,FB
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spots (no tissue loss),FB
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montastrea,1,M ,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with abnormal growth ,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,5,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,4,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,9,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,2,"GA, PD",Growth Anomalies ,,,Abnormal growth,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,1,B,,Bleaching ,,White patches- non focal bleaching (no tissue loss),BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with abnormal growth,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,2,ESE,Enlarged Skeletal Elements,,,,Others
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,3,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,3,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white s[ots (tissue loss),UWS
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,1,"B,",,Bleaching ,,Whole almost white ,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Diploastrea,1,M ,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Platygyra,1,M ,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,1,B,,Bleaching ,,Whole colony bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,M ,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pavona,1,E,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"P, PD",,Predation,,Partly dead with white patches (Tissue loss),P
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"UWSD, GA, PD",Ulcerative White Spot Disease,Growth Anomalies ,,Partly dead with white spots (tissue loss) and abnormal growth,UWS
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spots (no tissue loss),FB
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Isopora,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,1,"P, GA, PD",Growth Anomalies ,Predation,,Partly dead with patches (Tissue loss) and abnormal growth,P
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,5,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with spots (tissue loss),UWS
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,6,B,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,4,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,7,CC,1,"B, ",,Bleaching ,,White patches on some branches,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,1,B,,Bleaching ,,White patches - non focal bleaching  (no tissue loss),BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead with non focal bleaching (no tissue loss),BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Pocillopora,1,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,D,2,ESE,Enlarged Skeletal Elements,,,,Others
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Galaxea,1,E,1,B,,Bleaching ,,Whole colony is white,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Favites,1,M ,1,"B, ",,Bleaching ,,Whole colony bleached,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,2,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Favites,1,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,4,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,1,B,1,"P, ",,Predation,,White  patches (tissue loss),P
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Montipora,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Favia,1,M ,0,,,,,,H
NanuyaLailai,12/5/2014,13:43,NLSRF2,1,Acropora,3,B,0,,,,,,H
