Location,SiteName,Transect,Genus,NumberperTransect,Growthforms,SignsAbnormal,variable,value,category
Leleuvia,LUDF1,1,Porites,3,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Acropora,1,B,1,type1,B,B
Leleuvia,LUDF1,1,Montipora,1,SM,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,2,M,4,type1,E,GA
Leleuvia,LUDF1,1,Porites,1,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Pocillopora,1,CC,1,type1,B,B
Leleuvia,LUDF1,1,Montipora,1,SM,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Fungia,6,S,1,type1,WS,WS
Leleuvia,LUDF1,1,Porites,1,M,1,type1,WS,WS
Leleuvia,LUDF1,1,Porites,1,M,4,type1,E,GA
Leleuvia,LUDF1,1,Porites,1,E,1,type1,B,B
Leleuvia,LUDF1,1,Galaxea,3,M,1,type1,B,B
Leleuvia,LUDF1,1,Porites,2,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Fungia,1,S,2,type1,PYBD,PYBD
Leleuvia,LUDF1,1,Porites,2,E,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Montipora,1,SM,2,type1,PYBD,PYBD
Leleuvia,LUDF1,1,Porites,1,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Porites,1,SM,1,type1,FB,B
Leleuvia,LUDF1,1,Pocillopora,1,SM,1,type1,B,B
Leleuvia,LUDF1,1,Porites,3,M,1,type1,B,B
Leleuvia,LUDF1,1,Favites,2,M,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,SM,1,type1,B,B
Leleuvia,LUDF1,1,Fungia,1,S,1,type1,B,B
Leleuvia,LUDF1,1,Fungia,1,S,2,type1,PR,PR
Leleuvia,LUDF1,1,Pocillopora,1,SM,1,type1,B,B
Leleuvia,LUDF1,1,Pocillopora,1,CC,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Acropora,1,B,1,type1,B,B
Leleuvia,LUDF1,1,Fungia,1,S,1,type1,B,B
Leleuvia,LUDF1,1,Pocillopora,1,SM,2,type1,GA,GA
Leleuvia,LUDF1,1,Stylophora,1,B,1,type1,B,B
Leleuvia,LUDF1,1,Acropora,1,B,1,type1,B,B
Leleuvia,LUDF1,1,Montipora,1,SM,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,1,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Fungia,2,S,2,type1,PYBD,PYBD
Leleuvia,LUDF1,1,Symphyllia,1,SM,2,type1,PR,PR
Leleuvia,LUDF1,1,Platygyra,1,SM,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,E,4,type1,E,GA
Leleuvia,LUDF1,1,Ctenactis,1,S,2,type1,PYBD,PYBD
Leleuvia,LUDF1,1,Porites,1,F,1,type1,WS,WS
Leleuvia,LUDF1,1,Fungia,2,S,1,type1,FB,B
Leleuvia,LUDF1,1,Montipora,1,F,1,type1,WS,WS
Leleuvia,LUDF1,1,Pocillopora,1,SM,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,M,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,1,M,1,type1,WS,WS
Leleuvia,LUDF1,1,Galaxea,1,M,1,type1,B,B
Leleuvia,LUDF1,1,Pachyseris,1,F,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Pachyseris,1,F,1,type1,B,B
Leleuvia,LUDF1,1,Pocillopora,2,CC,1,type1,FB,B
Leleuvia,LUDF1,1,Fungia,2,S,1,type1,WS,WS
Leleuvia,LUDF1,1,Pavona,1,M,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,2,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Fungia,2,S,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,1,M,1,type1,B,B
Leleuvia,LUDF1,1,Montipora,1,E,4,type1,E,GA
Leleuvia,LUDF1,1,Lobophyllia,1,M,2,type1,PR,PR
Leleuvia,LUDF1,1,Porites,2,SM,1,type1,B,B
Leleuvia,LUDF1,1,Fungia,1,S,1,type1,FB,B
Leleuvia,LUDF1,1,Ctenactis,1,S,2,type1,PYBD,PYBD
Leleuvia,LUDF1,1,Porites,1,M,1,type1,B,B
Leleuvia,LUDF1,1,Porites,2,M,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,1,M,4,type1,E,GA
Leleuvia,LUDF1,1,Galaxea,1,M,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,E,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Porites,4,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Montipora,2,SM,4,type1,E,GA
Leleuvia,LUDF1,1,Favites,1,M,1,type1,B,B
Leleuvia,LUDF1,1,Porites,3,E,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,E,4,type1,E,GA
Leleuvia,LUDF1,1,Favites,1,E,1,type1,B,B
Leleuvia,LUDF1,1,Porites,2,SM,1,type1,FB,B
Leleuvia,LUDF1,1,Fungia,1,S,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,2,E,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,1,M,1,type1,UWS,UWS
Leleuvia,LUDF1,1,Porites,1,SM,1,type1,B,B
Leleuvia,LUDF1,1,Leptoseris,1,F,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,1,E,1,type1,B,B
Leleuvia,LUDF1,1,Porites,1,E,1,type1,FB,B
Leleuvia,LUDF1,1,Porites,2,M,1,type1,FB,B
Leleuvia,LUDF1,1,Montipora,1,SM,4,type1,E,GA
